windowId,featureUs,normalizeUs,inferenceUs,xaiUs,roomUs,alertUs,totalUs,isWarmup
1782214727176,2392,37,8196,5631,19234,121375,156869,0
1782214667176,2440,16,5275,4312,21059,123892,156997,0
1782214607176,3909,26,6237,5414,27357,99849,142794,0
1782214547176,3003,21,4440,4215,28847,110024,150554,0
1782214487176,2235,15,3694,3560,14307,94861,118674,0
1782214427176,4718,28,5703,4940,19991,96154,131536,0
1782214367176,2086,14,4370,3344,21660,105008,136484,0
1782214307176,2976,25,3970,4131,47962,87027,146095,0
1782214247176,2271,16,3200,3887,17572,84075,111023,0
1782214187176,3743,36,3870,2629,10742,78179,99202,0
1782214127176,1521,17,2829,2317,15153,92581,114420,0
1782214067176,3678,21,7830,4547,15846,105596,137522,0
1782214007176,2916,23,5161,4529,33040,116742,162414,0
1782213947176,2733,15,4079,4271,9739,127709,148548,0
1782213887176,6713,22,4110,4242,25865,102221,143175,0
1782213827176,2687,18,3554,4037,25791,76796,112886,0
1782213767176,3765,21,5131,4134,19418,92807,125278,0
1782213707176,3595,24,5305,8444,21899,113970,153239,0
1782213647176,2452,23,3707,5163,23207,93660,128216,0
1782213587176,8180,43,7817,7138,20350,117624,161154,0
1782213527176,3843,21,5457,4845,12278,96060,122507,0
1782213467176,3688,23,5013,5611,29583,128765,172685,0
1782213407176,3768,23,5990,4948,25877,121546,162155,0
1782213347176,1575,13,4893,4786,7553,102676,121498,0
1782213287176,4785,27,4854,4744,19145,114623,148180,0
1782213227176,3360,30,4052,5209,27698,120864,161217,0
1782213167176,1352,11,2477,5179,8217,84059,101298,0
1782213107176,3056,22,8981,4203,15681,128224,160170,0
1782213047176,3169,20,13916,3540,28122,81969,130740,0
1782212987176,6613,19,3297,1917,11648,90078,113575,0
1782212927176,1557,10,2602,2147,13295,81039,100652,0
1782212867176,2562,10,2713,4483,13180,79799,102750,0
1782212807176,1590,12,6064,2212,10512,92762,113154,0
1782212747176,4938,30,6239,8012,16545,113143,148909,0
1782212687176,1165,9,2113,3173,15246,91579,113287,0
1782212627176,1508,11,8072,2846,15380,71627,99446,0
1782212567176,1438,82,5801,2048,13130,90680,113181,0
1782212507176,5660,37,8681,8736,14558,97287,134962,0
1782212447176,1306,12,2157,2093,12374,90173,108118,0
1782212387176,1189,9,2570,2256,12750,84363,103140,0
1782212327176,4925,35,2386,2646,9443,94297,113736,0
1782212267176,1275,10,2011,2350,25465,74390,105503,0
1782212207176,5017,12,6682,2044,19801,81909,115468,0
1782212147176,16370,107,16904,13911,25689,113600,186584,0
1782212087176,3512,22,7457,4813,18143,124932,158881,0
1782212027176,2911,20,5685,8997,31207,87255,136078,0
1782211967176,1895,13,4457,4559,10520,113990,135436,0
