subject,normal,stress,total,stress_share
S2,73,37,110,0.33636363636363636
S3,72,39,111,0.35135135135135137
S4,74,39,113,0.34513274336283184
S5,76,40,116,0.3448275862068966
S6,75,40,115,0.34782608695652173
S7,76,39,115,0.3391304347826087
S8,74,41,115,0.3565217391304348
S9,76,40,116,0.3448275862068966
S10,76,45,121,0.371900826446281
S11,75,42,117,0.358974358974359
S13,75,42,117,0.358974358974359
S14,75,42,117,0.358974358974359
S15,76,42,118,0.3559322033898305
S16,75,41,116,0.35344827586206895
S17,76,45,121,0.371900826446281
