subject,accuracy,macro_f1,weighted_f1,stress_precision,stress_recall,stress_f1,nonstress_f1,n_windows
S10,0.8926,0.8895,0.8942,0.7857,0.9778,0.8713,0.9078,121
S11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,117
S13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,117
S14,0.906,0.9011,0.9073,0.8163,0.9524,0.8791,0.9231,117
S15,0.8729,0.859,0.8718,0.8462,0.7857,0.8148,0.9032,118
S16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,116
S17,0.9174,0.9066,0.9147,1.0,0.7778,0.875,0.9383,121
S2,0.9364,0.9249,0.9345,1.0,0.8108,0.8955,0.9542,110
S3,0.9459,0.9414,0.9462,0.9024,0.9487,0.925,0.9577,111
S4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,113
S5,0.9569,0.9536,0.9574,0.8889,1.0,0.9412,0.966,116
S6,0.9565,0.9518,0.9564,0.9487,0.925,0.9367,0.9669,115
S7,0.9565,0.9529,0.9571,0.8864,1.0,0.9398,0.966,115
S8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,115
S9,0.9397,0.93,0.9381,1.0,0.825,0.9041,0.956,116
MEAN±STD,0.9520±0.0409,0.9474±0.0445,,,,,,1738
