subject,masked_modality,n_windows,threshold,accuracy,balanced_accuracy,macro_f1,stress_precision,stress_recall,stress_f1,roc_auc,pr_auc,brier_score,log_loss,ece
S10,EDA,121,0.5,0.859504132231405,0.8519005847953216,0.8503020158649297,0.8043478260869565,0.8222222222222222,0.8131868131868132,0.9380116959064327,0.9013618843864248,0.1030505122150497,0.32635289183261657,0.06503938297810387
S10,HRV/BVP,121,0.5,0.8677685950413223,0.8222222222222222,0.8442728442728442,1.0,0.6444444444444445,0.7837837837837838,0.9093567251461988,0.9091914465210458,0.11015888062429811,0.4293466873963409,0.11224398675012934
S10,Movement,121,0.5,0.9090909090909091,0.9140350877192982,0.9046902971715002,0.84,0.9333333333333333,0.8842105263157894,0.9698830409356726,0.9679191652373796,0.07151855466944994,0.2414389616645383,0.10300812059782508
S10,None,121,0.5,0.9008264462809917,0.889327485380117,0.8928571428571428,0.8837209302325582,0.8444444444444444,0.8636363636363636,0.9649122807017543,0.9534764325762447,0.06994661024895292,0.22728496648256497,0.05116083848959775
S10,Temperature,121,0.5,0.8925619834710744,0.8782163742690059,0.8833518724508713,0.8809523809523809,0.8222222222222222,0.8505747126436781,0.9388888888888889,0.9270358846254004,0.08706501252425072,0.27942972001581773,0.08014470857591174
S11,EDA,117,0.5,0.9914529914529915,0.9880952380952381,0.9906646453363122,1.0,0.9761904761904762,0.9879518072289156,1.0,1.0,0.005901512818527087,0.020803524391771203,0.015113157122177034
S11,HRV/BVP,117,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2335488310605623e-05,0.002584306408802607,0.0025729899743420505
S11,Movement,117,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00011354185467704547,0.0039961924118563094,0.003936594493416525
S11,None,117,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.5119795218553e-05,0.0029952543717955233,0.0029447946464145327
S11,Temperature,117,0.5,0.9572649572649573,0.9666666666666667,0.9546687330492057,0.8936170212765957,1.0,0.9438202247191011,1.0,1.0,0.02894262756371244,0.08538403601442963,0.04622751156875115
S13,EDA,117,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2642085536209417e-08,2.567997162166677e-05,2.567364756740999e-05
S13,HRV/BVP,117,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00024794745452116245,0.001656814535044928,0.0015167013046345956
S13,Movement,117,0.5,0.8974358974358975,0.8571428571428572,0.8796296296296297,1.0,0.7142857142857143,0.8333333333333334,0.9971428571428572,0.9953356697188236,0.10329506133743027,0.7398817526378767,0.10899573435611166
S13,None,117,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.833598090184887e-07,0.00010162127600578195,0.00010127766644176673
S13,Temperature,117,0.5,0.7863247863247863,0.8333333333333333,0.7853211009174312,0.6268656716417911,1.0,0.7706422018348624,0.986984126984127,0.9797363234946879,0.1933993572308182,1.3782875515500055,0.2101299509792633
S14,EDA,117,0.5,0.6153846153846154,0.6842857142857143,0.6143704680290046,0.48148148148148145,0.9285714285714286,0.6341463414634146,0.913015873015873,0.8941206490147426,0.30889561901730705,1.266048700009841,0.3387640736177246
S14,HRV/BVP,117,0.5,0.6324786324786325,0.6923809523809523,0.6323712093533065,0.4935064935064935,0.9047619047619048,0.6386554621848739,0.7844444444444445,0.5796489510482209,0.2997820571397035,1.223751327762068,0.3221795598251952
S14,Movement,117,0.5,0.7948717948717948,0.7980952380952381,0.7850581751377832,0.68,0.8095238095238095,0.7391304347826086,0.8019047619047619,0.8255950232401769,0.16244451730386916,0.8215359231439588,0.19180952279336458
S14,None,117,0.5,0.8034188034188035,0.8257142857142857,0.7986531986531986,0.6666666666666666,0.9047619047619048,0.7676767676767676,0.8958730158730159,0.872359059184027,0.18359238919542106,0.8610485298136222,0.18448639827836147
S14,Temperature,117,0.5,0.8974358974358975,0.8728571428571428,0.8846153846153846,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.9663492063492063,0.9518410646248808,0.08209863649280585,0.34883067190624045,0.08658547995303076
S15,EDA,118,0.5,0.6864406779661016,0.6979949874686717,0.6780948167809482,0.543859649122807,0.7380952380952381,0.6262626262626263,0.8170426065162907,0.699113673744576,0.19267083917910818,0.6108121548236147,0.16004337845528022
S15,HRV/BVP,118,0.5,0.9661016949152542,0.9523809523809523,0.9621794871794871,1.0,0.9047619047619048,0.95,0.9927944862155388,0.9886252689481592,0.03536104786126585,0.13269674504746332,0.05213543452259341
S15,Movement,118,0.5,0.8050847457627118,0.8167293233082706,0.7973870847331094,0.6792452830188679,0.8571428571428571,0.7578947368421053,0.9182330827067668,0.8486200331830699,0.12181195781277726,0.41778071708488856,0.13461962455915194
S15,None,118,0.5,0.8305084745762712,0.8471177944862156,0.8244047619047619,0.7037037037037037,0.9047619047619048,0.7916666666666666,0.9577067669172933,0.9313663085374444,0.10150628347321468,0.3557134630265791,0.12227022621022947
S15,Temperature,118,0.5,0.847457627118644,0.8602756892230576,0.8408750374587952,0.7307692307692307,0.9047619047619048,0.8085106382978723,0.9489348370927319,0.9308517078952641,0.12603893913143557,0.5038716540073928,0.13206743574328822
S16,EDA,116,0.5,0.9827586206896551,0.9811382113821139,0.9811382113821139,0.975609756097561,0.975609756097561,0.975609756097561,0.9986991869918699,0.9977421448272134,0.01672337463360181,0.060422070910734565,0.030355080079030386
S16,HRV/BVP,116,0.5,0.9913793103448276,0.9878048780487805,0.9905159022156814,1.0,0.975609756097561,0.9876543209876543,0.9996747967479676,0.9994192799070849,0.01192909399374919,0.05676738193678787,0.039043930443485496
S16,Movement,116,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002083351129205976,0.0191148561537757,0.01787238152986712
S16,None,116,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.004709356861242738,0.02535839931787244,0.02222647460514745
S16,Temperature,116,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00019555173918715102,0.003530799398464877,0.003425820751701762
S17,EDA,121,0.5,0.9752066115702479,0.9757309941520468,0.9735827086820464,0.9565217391304348,0.9777777777777777,0.967032967032967,0.9967836257309942,0.9942850861807475,0.01610638790768107,0.06118900953905525,0.021434523067812346
S17,HRV/BVP,121,0.5,0.8181818181818182,0.7555555555555555,0.7750169033130494,1.0,0.5111111111111111,0.6764705882352942,0.9187134502923976,0.8953074815660419,0.1759736205230791,1.0567510660023471,0.18861238714783793
S17,Movement,121,0.5,0.8016528925619835,0.7333333333333334,0.75,1.0,0.4666666666666667,0.6363636363636364,0.9643274853801169,0.9375740568676745,0.18241439293626058,0.9770138854261302,0.1920565004743855
S17,None,121,0.5,0.8760330578512396,0.8333333333333333,0.8550898203592814,1.0,0.6666666666666666,0.8,0.9897660818713451,0.9827969543038081,0.10914878556196152,0.4942571966331319,0.12614221167272008
S17,Temperature,121,0.5,0.9173553719008265,0.8888888888888888,0.9066358024691358,1.0,0.7777777777777778,0.875,0.9912280701754386,0.9856950089494032,0.0763029812399034,0.3575033277808446,0.08636140513697099
S2,EDA,110,0.5,0.7909090909090909,0.6891891891891893,0.7064624666434621,1.0,0.3783783783783784,0.5490196078431373,0.9918548685671973,0.9841727238213427,0.1738891819155825,0.6337878275815154,0.20268637889530505
S2,HRV/BVP,110,0.5,0.9636363636363636,0.9459459459459459,0.9580952380952381,1.0,0.8918918918918919,0.9428571428571428,0.9914846353202518,0.9881274131274129,0.033292776118495335,0.14287048773988273,0.04207234527831051
S2,Movement,110,0.5,0.990909090909091,0.9864864864864865,0.9897493243872891,1.0,0.972972972972973,0.9863013698630136,1.0,0.9999999999999998,0.006402810964084962,0.024821699753361782,0.01616808512375099
S2,None,110,0.5,0.9818181818181818,0.972972972972973,0.9793543543543544,1.0,0.9459459459459459,0.9722222222222222,0.9981488337652721,0.9967824967824965,0.016192533076644297,0.07011232917338411,0.019982997939752584
S2,Temperature,110,0.5,0.8090909090909091,0.8495001851166235,0.8044196088392177,0.6428571428571429,0.972972972972973,0.7741935483870968,0.9744539059607553,0.9543339026458555,0.14523138217789186,0.4761479468330828,0.1629355798306113
S3,EDA,111,0.5,0.9459459459459459,0.9407051282051282,0.9407051282051282,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9864672364672364,0.974295779884502,0.044917867315788146,0.15951287586462987,0.06326136347074228
S3,HRV/BVP,111,0.5,0.8738738738738738,0.9027777777777778,0.8700668896321071,0.7358490566037735,1.0,0.8478260869565217,0.974002849002849,0.9531397631598396,0.10081766475043605,0.3595019956196539,0.1358691069154858
S3,Movement,111,0.5,0.9009009009009009,0.9236111111111112,0.8968488637323646,0.78,1.0,0.8764044943820225,0.9821937321937322,0.9626559282765953,0.08693336006110249,0.31795902098091366,0.1204063962591258
S3,None,111,0.5,0.9459459459459459,0.9583333333333333,0.9425465838509317,0.8666666666666667,1.0,0.9285714285714286,0.9910968660968661,0.9826072859728118,0.048403464273764046,0.18638446676771747,0.07641830258407033
S3,Temperature,111,0.5,0.9099099099099099,0.9246794871794872,0.9050957592339262,0.8085106382978723,0.9743589743589743,0.8837209302325582,0.9786324786324786,0.9615964075036519,0.06503019439163896,0.22690054443332236,0.07850971098083095
S4,EDA,113,0.5,0.9646017699115044,0.9669092169092168,0.9613013698630137,0.926829268292683,0.9743589743589743,0.95,0.9954954954954955,0.9913948511441001,0.029723274387777728,0.09906618684060797,0.0344661564002115
S4,HRV/BVP,113,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00019229538077547155,0.002073989832542682,0.0019676630721234233
S4,Movement,113,0.5,0.9823008849557522,0.9864864864864865,0.9806506849315069,0.9512195121951219,1.0,0.975,1.0,1.0,0.01104071309790484,0.03298749745825868,0.015397037136576381
S4,None,113,0.5,0.9911504424778761,0.9932432432432432,0.9902695255317318,0.975,1.0,0.9873417721518988,1.0,1.0,0.007799500393687013,0.021627618647952793,0.013509830292774366
