outer_test_subject,inner_train_subjects,validation_subjects,n_train,n_validation,n_test
S2,S3 S4 S6 S8 S9 S10 S11 S13 S14 S15 S16 S17,S5 S7,1397,231,110
S3,S4 S6 S7 S8 S9 S10 S11 S13 S14 S15 S16 S17,S2 S5,1401,226,111
S4,S2 S5 S6 S7 S8 S9 S10 S11 S13 S14 S15 S17,S3 S16,1398,227,113
S5,S2 S6 S7 S8 S9 S10 S11 S13 S14 S15 S16 S17,S3 S4,1398,224,116
S6,S2 S3 S4 S5 S7 S8 S9 S10 S13 S14 S15 S16,S11 S17,1385,238,115
S7,S2 S3 S4 S5 S6 S8 S9 S10 S11 S13 S14 S17,S15 S16,1389,234,115
S8,S2 S3 S4 S5 S7 S9 S10 S11 S13 S14 S15 S17,S6 S16,1392,231,115
S9,S2 S3 S4 S5 S6 S7 S8 S11 S13 S15 S16 S17,S10 S14,1384,238,116
S10,S2 S3 S4 S5 S7 S9 S11 S13 S14 S15 S16 S17,S6 S8,1387,230,121
S11,S2 S3 S5 S6 S7 S8 S9 S10 S13 S14 S16 S17,S4 S15,1390,231,117
S13,S2 S3 S5 S6 S7 S8 S9 S10 S14 S15 S16 S17,S4 S11,1391,230,117
S14,S2 S4 S5 S6 S7 S8 S9 S10 S11 S13 S16 S17,S3 S15,1392,229,117
S15,S2 S3 S4 S5 S6 S7 S9 S10 S11 S13 S14 S17,S8 S16,1389,231,118
S16,S2 S3 S4 S5 S6 S7 S9 S10 S11 S13 S14 S17,S8 S15,1389,233,116
S17,S2 S3 S5 S6 S8 S9 S10 S11 S13 S14 S15 S16,S4 S7,1389,228,121
