subject,feedback_budget,evaluation_windows,accuracy_before,accuracy_after,accuracy_delta,macro_f1_before,macro_f1_after,macro_f1_delta,brier_before,brier_after
S2,4,97,1.0,1.0,0.0,1.0,1.0,0.0,0.00019471001119215927,0.00017273536977584927
S2,8,93,1.0,1.0,0.0,1.0,1.0,0.0,0.0001830169404449611,0.00015694554068612177
S2,16,85,1.0,1.0,0.0,1.0,1.0,0.0,0.0001231060149495113,0.00011629433139750031
S3,4,98,0.9387755102040817,0.9387755102040817,0.0,0.9348692955250333,0.9348692955250333,0.0,0.05447825715321113,0.05418330383641953
S3,8,94,0.9361702127659575,0.9361702127659575,0.0,0.9317191283292978,0.9317191283292978,0.0,0.05637628297476907,0.05615133278403518
S3,16,86,0.9302325581395349,0.9418604651162791,0.011627906976744207,0.9243401759530792,0.9364938709201005,0.012153694967021345,0.05910876375641994,0.0559059392369938
S4,4,100,0.99,0.99,0.0,0.988936829295276,0.988936829295276,0.0,0.008813433915311532,0.008811498683135043
S4,8,96,0.9895833333333334,0.9895833333333334,0.0,0.9883706844336766,0.9883706844336766,0.0,0.009180659349416522,0.009180488256691967
S4,16,88,0.9886363636363636,0.9886363636363636,0.0,0.9870263895031697,0.9870263895031697,0.0,0.010015263191404118,0.010016519501360625
S5,4,103,1.0,1.0,0.0,1.0,1.0,0.0,0.002001807706449747,0.002229882751297919
S5,8,99,1.0,1.0,0.0,1.0,1.0,0.0,0.0020818509005923313,0.00234160997556143
S5,16,91,1.0,1.0,0.0,1.0,1.0,0.0,0.0022648569279306,0.0025946566651475827
S6,4,102,0.9705882352941176,0.9705882352941176,0.0,0.9671497584541062,0.9671497584541062,0.0,0.025931756533623857,0.026195919642715098
S6,8,98,0.9795918367346939,0.9795918367346939,0.0,0.9767992424242424,0.9767992424242424,0.0,0.017234283503629617,0.018336710321512024
S6,16,90,0.9777777777777777,0.9666666666666667,-0.011111111111111072,0.974078341013825,0.9607272727272727,-0.013351068286552303,0.01859537229281005,0.021184949055484195
S7,4,102,0.9411764705882353,0.9411764705882353,0.0,0.9304861426624261,0.9304861426624261,0.0,0.04718938398908943,0.04843049632044208
S7,8,98,0.9387755102040817,0.9387755102040817,0.0,0.9265367316341829,0.9265367316341829,0.0,0.0491154465208591,0.05010204629763625
S7,16,90,0.9333333333333333,0.9333333333333333,0.0,0.916923076923077,0.916923076923077,0.0,0.053481065472425295,0.05441776556408628
S8,4,102,0.9803921568627451,0.9803921568627451,0.0,0.9787941787941788,0.9787941787941788,0.0,0.010646056895592795,0.010646390969054856
S8,8,98,0.9795918367346939,0.9795918367346939,0.0,0.9777777777777777,0.9777777777777777,0.0,0.011080467129897567,0.011080033369442924
S8,16,90,0.9777777777777777,0.9777777777777777,0.0,0.9753963914707491,0.9753963914707491,0.0,0.012065263889552109,0.012062373984684537
S9,4,103,0.9320388349514563,0.9320388349514563,0.0,0.9199689199689199,0.9199689199689199,0.0,0.06080292817982979,0.0603524358512798
S9,8,99,0.9292929292929293,0.9292929292929293,0.0,0.915498109986587,0.915498109986587,0.0,0.06325730838093634,0.06300744149541623
S9,16,91,0.9230769230769231,0.9230769230769231,0.0,0.9046549917676995,0.9046549917676995,0.0,0.0688149711209374,0.06851216964494268
S10,4,108,0.8888888888888888,0.8888888888888888,0.0,0.8795986622073578,0.8795986622073578,0.0,0.07756595415777762,0.07785658395486778
S10,8,104,0.8846153846153846,0.8846153846153846,0.0,0.8741427995159339,0.8741427995159339,0.0,0.08053631264884387,0.0806254379738845
S10,16,96,0.875,0.875,0.0,0.8614718614718615,0.8614718614718615,0.0,0.08721938133368017,0.08657434496459478
S11,4,104,1.0,1.0,0.0,1.0,1.0,0.0,0.00010662057548710321,0.00010660363680960191
S11,8,100,1.0,1.0,0.0,1.0,1.0,0.0,0.00011077756344657092,0.00011074688223853312
S11,16,92,1.0,1.0,0.0,1.0,1.0,0.0,0.00012016847711982509,0.00012009039474635543
S13,4,104,1.0,1.0,0.0,1.0,1.0,0.0,7.687740680839691e-07,7.687741654376405e-07
S13,8,100,1.0,1.0,0.0,1.0,1.0,0.0,7.995234185538024e-07,7.996319279848233e-07
S13,16,92,1.0,1.0,0.0,1.0,1.0,0.0,8.672237222595237e-07,8.670604719018224e-07
S14,4,104,0.7788461538461539,0.7788461538461539,0.0,0.7741478613917477,0.7741478613917477,0.0,0.2065067588935596,0.20598436802294143
S14,8,100,0.77,0.77,0.0,0.7647058823529411,0.7647058823529411,0.0,0.2147641892370792,0.21345908992034332
S14,16,92,0.75,0.75,0.0,0.743172715135332,0.743172715135332,0.0,0.2323122401174548,0.2301997555072169
S15,4,105,0.8476190476190476,0.8857142857142857,0.03809523809523807,0.8399390243902439,0.8776223776223776,0.037683353232133676,0.08993205286594594,0.0816286608733692
S15,8,101,0.8514851485148515,0.900990099009901,0.04950495049504955,0.8425974025974026,0.8920940170940171,0.04949661449661458,0.09052476262596175,0.08145375178151565
S15,16,93,0.8602150537634409,0.9032258064516129,0.043010752688172005,0.8483632258873699,0.89198606271777,0.043622836830400136,0.09103127718422709,0.08328276894577558
S16,4,103,1.0,1.0,0.0,1.0,1.0,0.0,0.0040073319595162376,0.0039745433290979204
S16,8,99,1.0,1.0,0.0,1.0,1.0,0.0,0.004167024588790606,0.004155744996211111
S16,16,91,1.0,1.0,0.0,1.0,1.0,0.0,0.004529879349622607,0.004538649565063437
S17,4,108,0.8703703703703703,0.8796296296296297,0.0092592592592593,0.8472727272727272,0.8593609135530402,0.012088186280313051,0.11306959405483069,0.1041189053633164
S17,8,104,0.875,0.8846153846153846,0.009615384615384581,0.8519978106185002,0.8645833333333333,0.012585522714833042,0.10827823214233173,0.10473616231511522
S17,16,96,0.8645833333333334,0.875,0.01041666666666663,0.8343729263437293,0.8487394957983193,0.014366569454590028,0.11604599265412473,0.1095497321901654
