feature,pkl_mean,json_mean,delta_mean,pkl_scale,json_scale,delta_scale,normalised_mean_err
hrv_meanNN,830.567588,830.567588,0.0,176.583916,176.583916,0.0,0.0
hrv_SDNN,197.972214,197.972214,0.0,148.156243,148.156243,0.0,0.0
hrv_RMSSD,272.130577,272.130577,0.0,214.407481,214.407481,0.0,0.0
hrv_pNN50,70.456176,70.456176,0.0,33.606496,33.606496,0.0,0.0
hrv_LF,0.032477,0.032477,0.0,0.015531,0.015531,0.0,0.0
hrv_HF,0.093362,0.093362,0.0,0.039485,0.039485,0.0,0.0
hrv_LFHF,1.101528,1.101528,0.0,6.219987,6.219987,0.0,0.0
eda_scl_mean,0.155505,0.155505,0.0,0.799216,0.799216,0.0,0.0
eda_scl_slope,-0.014368,-0.014368,0.0,0.048159,0.048159,0.0,0.0
eda_scr_mean,-0.028583,-0.028583,0.0,0.639272,0.639272,0.0,0.0
eda_scr_std,0.762045,0.762045,0.0,0.275555,0.275555,0.0,0.0
eda_scr_auc,19.285371,19.285371,0.0,10.056418,10.056418,0.0,0.0
eda_scr_peaks,32.993671,32.993671,0.0,6.819763,6.819763,0.0,0.0
eda_scr_amp_mean,1.834577,1.834577,0.0,1.134328,1.134328,0.0,0.0
temp_mean,33.100497,33.100497,0.0,1.449615,1.449615,0.0,0.0
temp_std,0.012028,0.012028,0.0,0.005196,0.005196,0.0,0.0
temp_slope,-1.3e-05,-1.3e-05,0.0,0.001223,0.001223,0.0,0.0
temp_min,33.084837,33.084837,0.0,1.449285,1.449285,0.0,0.0
temp_max,33.116078,33.116078,0.0,1.450103,1.450103,0.0,0.0
acc_mag_mean,-4.2e-05,-4.2e-05,0.0,0.082407,0.082407,0.0,0.0
acc_mag_std,1.90997,1.90997,0.0,3.221366,3.221366,0.0,0.0
acc_mag_energy,13.944316,13.944316,0.0,48.659169,48.659169,0.0,0.0
acc_mag_zcr,0.285355,0.285355,0.0,0.07128,0.07128,0.0,0.0
