subject,masked_modality,n_windows,threshold,accuracy,balanced_accuracy,macro_f1,stress_precision,stress_recall,stress_f1,roc_auc,pr_auc,brier_score,log_loss,ece
S2,EDA,110,0.5,0.7,0.5540540540540541,0.5053822046600355,1.0,0.10810810810810811,0.1951219512195122,0.9274342835986672,0.8995611856067793,0.18354814252384513,0.5509391719645198,0.22917525876652112
S2,HRV/BVP,110,0.5,0.6909090909090909,0.5405405405405406,0.48055555555555557,1.0,0.08108108108108109,0.15,0.9900037023324695,0.9841031676260992,0.1706585663518075,0.523308248649179,0.26386501193046563
S2,Movement,110,0.5,0.7272727272727273,0.5945945945945946,0.5738636363636364,1.0,0.1891891891891892,0.3181818181818182,0.9966679007774898,0.9947121034077553,0.15365708463616864,0.4858930113882359,0.29042099321430376
S2,None,110,0.5,0.7272727272727273,0.5945945945945946,0.5738636363636364,1.0,0.1891891891891892,0.3181818181818182,0.990373935579415,0.9838133184380358,0.15965486816514207,0.4985291111341051,0.27650239237330176
S2,Temperature,110,0.5,0.8090909090909091,0.7628656053313587,0.7746561311091601,0.7666666666666667,0.6216216216216216,0.6865671641791045,0.9163272861902999,0.8329065563696829,0.1766511604410227,0.5410342030325062,0.2069594916972247
S3,EDA,111,0.5,0.35135135135135137,0.5,0.26,0.35135135135135137,1.0,0.52,0.6392450142450143,0.5861249889782996,0.3520443090443513,0.913866972973947,0.3669108963227487
S3,HRV/BVP,111,0.5,0.3783783783783784,0.5208333333333334,0.3053061224489796,0.3611111111111111,1.0,0.5306122448979592,0.8393874643874644,0.7475806482915316,0.2851263293859754,0.7650055611506331,0.3413287132709949
S3,Movement,111,0.5,0.38738738738738737,0.5277777777777778,0.3197548666186013,0.3644859813084112,1.0,0.5342465753424658,0.8796296296296297,0.8438481861003498,0.2954867116338818,0.7862964487489621,0.31771455074215793
S3,None,111,0.5,0.38738738738738737,0.5277777777777778,0.3197548666186013,0.3644859813084112,1.0,0.5342465753424658,0.7938034188034189,0.6954408616082127,0.2983215884766131,0.7937330447243526,0.30878621366646913
S3,Temperature,111,0.5,0.6846846846846847,0.6511752136752136,0.6520376175548589,0.5526315789473685,0.5384615384615384,0.5454545454545454,0.7275641025641026,0.5696591140562367,0.22893585863823399,0.6506523679708798,0.14607374866803488
S4,EDA,113,0.5,0.34513274336283184,0.5,0.2565789473684211,0.34513274336283184,1.0,0.5131578947368421,0.6718641718641719,0.5040027171893464,0.27537296413782886,0.7443098183277735,0.23347295174556487
S4,HRV/BVP,113,0.5,0.34513274336283184,0.5,0.2565789473684211,0.34513274336283184,1.0,0.5131578947368421,0.9902979902979904,0.9806922003449708,0.2536502900711975,0.699978192622434,0.33683783026923125
S4,Movement,113,0.5,0.35398230088495575,0.5067567567567568,0.27161147902869753,0.3482142857142857,1.0,0.5165562913907285,0.9656964656964656,0.9268903204132986,0.24739706774262116,0.6872320064373632,0.3749449862315591
S4,None,113,0.5,0.34513274336283184,0.5,0.2565789473684211,0.34513274336283184,1.0,0.5131578947368421,0.9459459459459458,0.8643643076112528,0.24976964702372498,0.692123054879363,0.3475982198673013
S4,Temperature,113,0.5,0.831858407079646,0.8473665973665974,0.8239153612728615,0.7,0.8974358974358975,0.7865168539325843,0.8832293832293833,0.7762157352104164,0.23088281658197893,0.6548198601410663,0.3026917531954504
